商品カテゴリ,商品名,カロリー(kcal),タンパク質(g),脂質(g),炭水化物(g),食塩相当量(g)
ハンバーガー,えびフィレオ®,399,11,17.1,50.9,2.3
ハンバーガー,てりやきチキンフィレオ,392,19.9,23.1,53.4,2.7
ハンバーガー,てりやきマックバーガー,477,15.8,30.2,37.5,2.1
ハンバーガー,エグチ(エッグチーズバーガー),390,22.4,19,31.2,2.1
ハンバーガー,エッグマックマフィン®,310,18.6,13.6,27.2,1.5
ハンバーガー,スパチキ(スパイシーマックチキン),405,14.2,21.3,39.6,2.6
ハンバーガー,ソーセージエッグマフィン,477,21.9,30.6,27.3,1.8
ハンバーガー,ソーセージマフィン,397,15.5,25.1,27.1,1.7
ハンバーガー,ダブルチーズバーガー,459,26.4,25.1,31.8,2.9
ハンバーガー,チーズバーガー,310,15.9,13.5,31.1,1.9
ハンバーガー,チキチー®(マックチキン®チーズ),448,17,24.1,41.3,2.7
ハンバーガー,チキンフィレオ®,473,19.7,22.8,48,3
ハンバーガー,チキンマックマフィン,388,15.7,19,38.2,2.1
ハンバーガー,ハンバーガー,259,13,9.5,30.3,1.5
ハンバーガー,バターパット,60,0,6.6,0,0.1
ハンバーガー,ビッグマック®,525,26.1,28,42,2.7
ハンバーガー,フィレオフィッシュ®,338,15,14.2,37.4,1.6
ハンバーガー,ベーコンエッグマックサンド,294,16.3,12.6,27.9,1.5
ハンバーガー,ベーコンレタスバーガー,368,17.5,20.3,29.5,2.1
ハンバーガー,ホットケーキ,323,8.3,9.3,53.5,1.4
ハンバーガー,ホットケーキシロップ,121,0,0,30.3,0
ハンバーガー,マックグリドルソーセージ®,414,10.5,23.4,40.4,2.4
ハンバーガー,マックグリドルソーセージエッグ®,545,19.8,32.9,41.3,3
ハンバーガー,マックグリドルベーコンエッグ®,382,15.6,16.7,41.3,2.6
ハンバーガー,マックチキン®,398,14.2,20.1,40.5,2.3
ハンバーガー,メガマフィン,693,30,49.3,31.2,3.1
ハンバーガー,倍えびフィレオ,570,16.6,24.7,70.9,3.2
ハンバーガー,倍てりやきチキンフィレオ,773,34.6,36.6,77.4,5.4
ハンバーガー,倍てりやきマックバーガー,731,23.9,50.7,45.6,3.2
ハンバーガー,倍エグチ(倍エッグチーズバーガー),489,29.9,26.6,31.2,2.5
ハンバーガー,倍スパチキ(倍スパイシーマックチキン),580,23.2,31.7,50.8,3.9
ハンバーガー,倍ダブルチーズバーガー,657,41.5,40.3,31.8,3.9
